Unnamed: 0,line_text,speaker,temporada,episodio
1363,You gonna wish me luck?,Jim,Season 1,1x5
45204,"Hey, Dwight. What`s up?",Jim,Season 7,7x23
19780,My hip bone!,Dwight,Season 4,4x6
32483,"I don`t understand, why would you buy a policy?",Dwight,Season 6,6x5
37343,"So maybe we could find a little wiggle room, right?",Michael,Season 6,6x21
53442,"Yeah`turn signal. It`s exciting to be painting again`those are the wipers. So`the`its`just. There you go! Yeah. [chuckles]  Yeah, things get so busy with the kids`red light`that it`s nice to have that creative outlet`red light! Red light! Red! Red!",Pam,Season 9,9x3
4637,"No, that was unbelievable.",Jim,Season 2,2x8
30366,[barging through office door] Alright. Here we go.,Michael,Season 5,5x25
50360,"If anyone`s having sex with Nellie for personal gain, it`s me, and I`m not joking at all. If you don`t tighten your saddle, you may fall off.",Dwight,Season 8,8x16
9751,"Oh, Dwight. I`ve missed you so much.",Jim,Season 3,3x2
30562,Yeah.,Jim,Season 5,5x26
36074,"It`s kind of like that lip thing she did last night, like a half snarl, half smile? I get the sense that she`s very ironic.",Pam,Season 6,6x17
28244,"All right, let me introduce you to some of the troops. Accounting, front and center. Come on up here. I`d like you to meet somebody. This is the accounting department.",Michael,Season 5,5x18
5044,Battlestar Galatica.,Dwight,Season 2,2x9
9497,That`s what faggie means!,Michael,Season 3,3x1
6414,What does what mean?,Michael,Season 2,2x13
5853,"Oh, right, because you announced that his ship was sinking?",Jim,Season 2,2x11
48346,I really wish I could help. I`m not really sure how I can...,Jim,Season 8,8x9
34740,"He has more character in a single flake of his dandruff then you have in that entire snow bank on your shoulder. Wait, what was the question?",Dwight,Season 6,6x13
104,"I think I`m a role model here. I think I garner people`s respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",Michael,Season 1,1x1
56169,"Um, hey, say Hi to Alyssa.",Pam,Season 9,9x13
25289,"David, wait.",Michael,Season 5,5x8
48190,Maybe over a beer after she`s closed her first sale [makes gun click noise].,Dwight,Season 8,8x9
46921,"I know, I know, I know. But Darryl and Kevin needed a third. They bought me this jersey. I said no. Kevin started crying. So, I am Chris Bosh.",Jim,Season 8,8x5
28322,"Oh, Michael, come on, no. You have to charm `em. [calls back on speakerphone]",Dwight,Season 5,5x18
4749,"Well, ok, well never as in `never ever ever`, or never as in there`s still a chance?",Michael,Season 2,2x8
34470,What would Bob do?,Jim,Season 6,6x12
49549,How long before?,Dwight,Season 8,8x13
41668,Huh? You like that?,Dwight,Season 7,7x11
1200,Hey.,Dwight,Season 1,1x4
35516,"Ooh, someone`s freakin`.",Michael,Season 6,6x16
9906,"Hey, first guest! You are going to have some tequila, my friend.",Michael,Season 3,3x2
9987,Misdemeanor?,Dwight,Season 3,3x2
41580,That`s adorable.,Michael,Season 7,7x11
22188,"Well, you`re not a romantic.",Michael,Season 4,4x14
43874,"I`m moving out to the burbs... actually, I`m moving further than the burbs, I`m moving to Colorado.",Michael,Season 7,7x19
30832,"Can`t back out now, Halpert.",Pam,Season 6,6x1
37920,Could he still be seeing her?,Pam,Season 6,6x23
2367,"Dwight, Dwight.",Jim,Season 2,2x1
5372,I want to do it.,Dwight,Season 2,2x10
6871,"God, this is gonna be fun.",Michael,Season 2,2x14
12536,I got goose bumps.,Pam,Season 3,3x10
16127,"Okay, you know what? Your enthusiasm`s turning people off.",Michael,Season 3,3x22
13508,No. I don`t want to do any of that.,Michael,Season 3,3x13
26683,Don`t run.,Michael,Season 5,5x13
47730,Dwight! Dwight!,Jim,Season 8,8x7
1192,"Do a poem for Meredith`s birthday or uh, limerick. Limerick. Um, [knock on  door] there was a girl from Dunder Mifflin. Come on in. Who had a big, smifflin.",Michael,Season 1,1x4
31257,Look who you`re talking to.,Michael,Season 6,6x2
18580,Okay.,Jim,Season 4,4x3
17273,"Ah, yeah. We haven`t told anybody, but it`s going really great. [looks at Jim] Right?",Pam,Season 4,4x1
32287,"[Grotti knocks over coat stand grabbing his overcoat] Oh, great.",Michael,Season 6,6x5
32802,"You are never going to be my father, you get out!",Pam,Season 6,6x6
5192,"Hey, Michael, accounting needs your approval on-",Pam,Season 2,2x9
14256,"Yeah, that`d be nice.",Pam,Season 3,3x16
28123,I can`t... vouch for that. But I do know this. He is a liar. He has taken my idea.,Michael,Season 5,5x17
31144,"Am I worried that Jim and David are having a meeting without me?  No, because we are the Three Amigos.  And once in awhile one of the Amigos will go off... to the bathroom... while the other two have a secret meeting.  [shrugs]",Michael,Season 6,6x2
44729,I know.,Pam,Season 7,7x22
41663,"Don`t. Stop, Dwight! [Dwight pelts Jim with snowballs] Dwight, stop! Dwight, stop!",Jim,Season 7,7x11
687,"Yeah, yeah, yeah. I did, so...",Michael,Season 1,1x3
43774,Oh ok. For how long?,Michael,Season 7,7x18
51516,Hmm. Maybe someone threw a pie in his face. New theory- he`s a hated Italian politician.,Dwight,Season 8,8x20
9989,Coast Guard? So you know how to fight underwater?,Dwight,Season 3,3x2
33616,Yes?,Michael,Season 6,6x9
24658,"OK, our prices have never been lower.",Dwight,Season 5,5x6
31188,Nope.,Michael,Season 6,6x2
12706,"William Randolph Shakespeare once wrote in one of his plays, and I`m paraphrasing here, `Love doth be poison.` Brilliant. And a lot of people don`t give Shakespeare enough credit. They think it was somebody else. A-holes.",Michael,Season 3,3x10
10265,"Okay. Here we go. Everybody, you know what? It dawned on me we were all in there watching a movie together before we were so rudely interrupted, Let`s get back in there. [no takers] Come on. Movie Monday! Come on, Stanley let`s go.",Michael,Season 3,3x3
54874,"Absolutely not. There are a lot of different ways to get revenge. I`ve had great success by defecating in a paper bag, put it on the porch--",Dwight,Season 9,9x8
23409,"Oh, but you mean other than embezzling?",Jim,Season 5,5x2
1169,"[smiling] Dunder Mifflin, this is Pam. One moment I`ll transfer you.",Pam,Season 1,1x4
38741,"Yes, I will. I will talk alright. Be careful what you wish for Toby.",Michael,Season 7,7x2
3359,I`m on it.,Dwight,Season 2,2x4
30972,"[grabs card from Eric, crumples it, throws it to the ground] Well now you can`t call me at all. Problem solved.",Dwight,Season 6,6x1
37271,"Uh, glasses wearers. Cholera survivors. Geniuses. Non-organic family farmers. The list goes on and on. You want me to keep going?",Dwight,Season 6,6x21
16951,Kelly made me realize something.  She and I have... nothing in common.  And I need more friends.,Pam,Season 3,3x23
51478,[shouting] Haulin` cube!,Dwight,Season 8,8x20
32477,Don`t.,Dwight,Season 6,6x5
13008,That`s okay.,Pam,Season 3,3x11
31338,No.,Jim,Season 6,6x2
9470,"One of them was named Michael Scott, and he was an...` Oh, damn it. Okay. Okay, okay, we`re... Okay, we`re starting over.",Michael,Season 2,2x22
34160,"You`re not in it at all, because you can`t be employee of the month, you`re a manager.",Jim,Season 6,6x11
44643,Yeah I was tripling up. There`s not enough time in the day to have a special moment with everybody.,Michael,Season 7,7x21
31397,You`re trying to trick me.,Michael,Season 6,6x3
17571,"No. [tries to hide piece of paper, but Pam grabs it]",Michael,Season 4,4x2
29605,"It`s 4:30 in the morning.  Do you know where your kids are?  If you are Ryan`s parents or Pam`s parents or my parents, you do.  They`re gonna be in this van.  With me.  Who am I?  Nothing to fear.  I am just a 44 year old guy with a paper route.",Michael,Season 5,5x23
57273,"I spent 10 years as a receptionist, to Michael Scott. And I have kids now. And I just, I can`t.",Pam,Season 9,9x16
11203,Yes.,Michael,Season 3,3x7
9713,I`ll probably just wear this.,Pam,Season 3,3x2
40171,Top of the Sunday morning to you.,Michael,Season 7,7x7
17913,"The government, spy satellites, private detectives... exgirlfriends. [sobs and then starts to cry]",Dwight,Season 4,4x2
55667,"[Takes picture from desk] Oh! You`re a hunter I see. Spend your early mornings out in the blinds, like Clarky and me. Huh? [grabs Clark`s shoulder]",Dwight,Season 9,9x11
24249,"Andy, I`ve been meaning to ask you, which a cappella group should I join? The Harmoniacs, or the Do-Re-Mi-Go`s?",Dwight,Season 5,5x5
35748,"Love you, mom.",Pam,Season 6,6x16
14612,Ok...,Jim,Season 3,3x18
34598,That was a different guy. That was Jesus. Jesus sort of ruined the party. Hurt petulant Jesus.,Michael,Season 6,6x12
23085,God.  Where is Jim?,Dwight,Season 5,5x1
36083,Is that what happened to you?,Jim,Season 6,6x17
70,Yes?,Jim,Season 1,1x1
3186,"Hey, Michael. Um... Ryan needs his number for the count off.",Dwight,Season 2,2x4
49581,"Yes, well, you guys all know Cece, but we wanted to introduce you to baby Philip.",Pam,Season 8,8x13
34326,No.,Jim,Season 6,6x11
13328,"Why do you lie, liar?",Michael,Season 3,3x12
59527,"No, Dwight. You`ll be doing the whacking.",Jim,Season 9,9x23
31981,I was just going to go down to the hotel bar for a little bit.,Pam,Season 6,6x4
52096,"Okay, what was this look? [Oscar does the look.]",Jim,Season 8,8x22
