,line_text,speaker,temporada,episodio
0,All right Jim. Your quarterlies look very good. How are things at the library?,Michael,Season 1,1x1
1,"Oh, I told you. I couldn't close it. So...",Jim,Season 1,1x1
2,"So you've come to the master for guidance? Is this what you're saying, grasshopper?",Michael,Season 1,1x1
3,"Actually, you called me in here, but yeah.",Jim,Season 1,1x1
4,"All right. Well, let me show you how it's done.",Michael,Season 1,1x1
5,"[on the phone] Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. [hangs up] That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... [Clears throat] So that's the way it's done.",Michael,Season 1,1x1
6,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for...  forever. Right, Pam?",Michael,Season 1,1x1
7,Well. I don't know.,Pam,Season 1,1x1
8,"If you think she's cute now, you should have seen her a couple of years ago. [growls]",Michael,Season 1,1x1
9,What?,Pam,Season 1,1x1
10,Any messages?,Michael,Season 1,1x1
11,"Uh, yeah. Just a fax.",Pam,Season 1,1x1
12,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",Michael,Season 1,1x1
13,You haven't told me.,Pam,Season 1,1x1
14,It's called the wastepaper basket! Look at that! Look at that face.,Michael,Season 1,1x1
15,"People say I am the best boss. They go, 'God we've never worked in a place like this before. You're hilarious.' 'And you get the best out of us.' [shows the camera his WORLD'S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.",Michael,Season 1,1x1
16,[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],Dwight,Season 1,1x1
17,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",Jim,Season 1,1x1
18,Whassup!,Michael,Season 1,1x1
19,Whassup! I still love that after seven years.,Jim,Season 1,1x1
20,Whassup!,Michael,Season 1,1x1
21,Whassup!,Dwight,Season 1,1x1
22,Whass...up!,Michael,Season 1,1x1
23,Whassup.,Dwight,Season 1,1x1
